topic,url,status
卡特兰数,https://oi-wiki.org/math/combinatorics/catalan/,pending
斯特林数,https://oi-wiki.org/math/combinatorics/stirling/,pending
贝尔数,https://oi-wiki.org/math/combinatorics/bell/,pending
伯努利数,https://oi-wiki.org/math/combinatorics/bernoulli/,pending
Entringer Number,https://oi-wiki.org/math/combinatorics/entringer/,pending
Eulerian Number,https://oi-wiki.org/math/combinatorics/eulerian/,pending
分拆数,https://oi-wiki.org/math/combinatorics/partition/,pending
范德蒙德卷积,https://oi-wiki.org/math/combinatorics/vandermonde-convolution/,pending
Pólya 计数,https://oi-wiki.org/math/combinatorics/polya/,pending
图论计数,https://oi-wiki.org/math/combinatorics/graph-enumeration/,pending
线性代数简介,https://oi-wiki.org/math/linear-algebra/,pending
向量,https://oi-wiki.org/math/linear-algebra/vector/,pending
内积和外积,https://oi-wiki.org/math/linear-algebra/product/,pending
矩阵,https://oi-wiki.org/math/linear-algebra/matrix/,pending
初等变换,https://oi-wiki.org/math/linear-algebra/elementary-operations/,pending
行列式,https://oi-wiki.org/math/linear-algebra/determinant/,pending
线性空间,https://oi-wiki.org/math/linear-algebra/vector-space/,pending
线性基,https://oi-wiki.org/math/linear-algebra/basis/,partial
线性映射,https://oi-wiki.org/math/linear-algebra/linear-mapping/,pending
特征多项式,https://oi-wiki.org/math/linear-algebra/char-poly/,pending
对角化,https://oi-wiki.org/math/linear-algebra/diagonalization/,pending
Jordan标准型,https://oi-wiki.org/math/linear-algebra/jordan/,pending
线性规划基础,https://oi-wiki.org/math/linear-programming/,pending
单纯形法,https://oi-wiki.org/math/simplex/,pending
基本概念,https://oi-wiki.org/math/algebra/basic/,pending
群论,https://oi-wiki.org/math/algebra/group-theory/,pending
环论,https://oi-wiki.org/math/algebra/ring-theory/,pending
域论,https://oi-wiki.org/math/algebra/field-theory/,pending
Schreier–Sims 算法,https://oi-wiki.org/math/algebra/schreier-sims/,pending
基本概念,https://oi-wiki.org/math/probability/basic-conception/,pending
条件概率与独立性,https://oi-wiki.org/math/probability/conditional-probability/,pending
随机变量,https://oi-wiki.org/math/probability/random-variable/,pending
随机变量的数字特征,https://oi-wiki.org/math/probability/exp-var/,pending
概率不等式,https://oi-wiki.org/math/probability/concentration-inequality/,pending
博弈论简介,https://oi-wiki.org/math/game-theory/intro/,pending
公平组合游戏,https://oi-wiki.org/math/game-theory/impartial-game/,pending
零和游戏,https://oi-wiki.org/math/game-theory/zero-sum-game/,pending
非公平组合游戏,https://oi-wiki.org/math/game-theory/partizan-game/,pending
插值,https://oi-wiki.org/math/numerical/interp/,partial: finite-field Lagrange arbitrary-node P4781 dual AC 297520159/297520164; consecutive nodes locally tested; Newton interpolation and other page content pending
数值积分,https://oi-wiki.org/math/numerical/integral/,pending
高斯消元,https://oi-wiki.org/math/numerical/gauss/,pending
牛顿迭代法,https://oi-wiki.org/math/numerical/newton/,pending
序理论,https://oi-wiki.org/math/order-theory/,pending
杨氏矩阵,https://oi-wiki.org/math/young-tableau/,pending
拟阵,https://oi-wiki.org/math/matroid/,pending
Berlekamp–Massey 算法,https://oi-wiki.org/math/berlekamp-massey/,partial: core BM local-tested; matrix minimal polynomial applications pending
